sentence,FOOD,PRICE,SERVICE,AMBIENCE
음식은 맛이 없고 쌉니다. 하지만 직원들은 친절합니다.,1,2,2,0
음식이 정말 맛있고 양도 많아요. 가격도 저렴해서 자주 올 것 같아요.,2,2,0,0
서비스가 너무 느리고 직원들이 불친절해요.,0,0,1,0
분위기가 아늑하고 인테리어가 예뻐요. 음식도 신선하고 맛있었습니다.,2,0,0,2
가격 대비 음식 양이 너무 적어요. 완전 바가지 느낌이에요.,1,1,0,0
"음식은 괜찮았고 서비스도 친절했지만 분위기가 조금 시끄러웠어요.",2,0,2,1
"서비스와 분위기는 정말 좋았는데 음식이 기대에 못 미쳤어요.",1,0,2,2
"서비스는 별로였지만 분위기가 좋아서 그나마 괜찮았어요.",0,0,1,2
"음식은 맛있고 분위기도 좋았지만 서비스가 느렸어요.",2,0,1,2
"서비스와 분위기는 만족스러웠지만 음식이 너무 짰어요.",1,0,2,2
"음식은 평범했지만 서비스와 분위기가 좋아서 다시 가고 싶어요.",1,0,2,2
"서비스는 친절하고 분위기도 아늑했지만 가격 대비 음식이 아쉬웠어요.",1,1,2,2
"음식과 분위기는 좋았는데 서비스가 불친절해서 기분이 상했어요.",2,0,1,2
"서비스도 좋고 분위기도 훌륭했지만 음식이 너무 늦게 나왔어요",0,0,1,2
시끄럽고 좁아서 불편했어요. 음식도 짜고 별로였습니다.,1,0,0,1
가격은 적당한데 음식 맛이 기대 이하였어요. 분위기는 괜찮았습니다.,1,2,0,2
웨이팅이 너무 길었고 자리도 불편했어요. 하지만 음식은 맛있었습니다.,2,0,1,1
음식 재료가 신선하지 않은 것 같았어요. 가격도 비싸고 실망스러웠어요.,1,1,0,0
조용하고 깔끔한 분위기에서 맛있는 음식을 즐겼어요. 직원도 친절했습니다.,2,0,2,2
"음식은 정말 맛있었지만 가격이 조금 비쌌어요.",2,1,0,0
"분위기는 좋았지만 서비스가 너무 느렸어요.",0,0,1,2
"가격은 합리적이고 음식도 괜찮았지만 직원들이 친절하지 않았어요.",2,2,1,0
"서비스는 훌륭했고 음식도 맛있었지만 분위기가 조금 시끄러웠어요.",2,0,2,1
"음식과 분위기는 좋았지만 가격 대비 서비스는 별로였어요.",2,1,1,2
"가격은 저렴한데 음식이 너무 짜고 서비스도 별로였어요.",1,2,1,0
"분위기와 서비스는 좋았어요 ", 0,0,2,2
"음식도 맛있고 직원들도 친절했지만 가격이 조금 부담스러웠어요.",2,1,2,0
"음식, 서비스, 분위기 모두 좋았지만 가격이 너무 비쌌어요.",2,1,2,2
