sentence,FOOD,PRICE,SERVICE,AMBIENCE
"가격이 너무 비싸서 다시 오고 싶지 않아요.",0,1,0,0
"분위기는 괜찮았는데 가격이 살짝 부담돼요.",0,1,0,2
"직원들이 친절했지만 음악 소리가 너무 커요.",0,0,2,1
"커피는 별로였고 조명도 너무 어두웠어요.",1,0,0,1
"가격은 합리적이고 분위기도 아늑했어요.",0,2,0,2
"서비스가 느려서 답답했어요.",0,0,1,0
"에어컨이 너무 약해서 더웠어요.",0,0,0,1
"가격은 저렴했지만 의자가 불편했어요.",0,2,0,1
"음식이 식어서 나와서 실망했어요.",1,0,0,0
"분위기가 로맨틱해서 데이트하기 좋았어요.",0,0,0,2
"가격은 조금 높지만 직원들이 친절했어요.",0,1,2,0
"조명이 너무 밝아서 눈이 아팠어요.",0,0,0,1
"서비스는 괜찮았지만 음악이 너무 시끄러워요.",0,0,2,1
"가격 대비 음식 양이 너무 적어요.",1,1,0,0
"분위기가 깔끔하고 인테리어가 예뻤어요.",0,0,0,2
"직원들이 무뚝뚝해서 기분이 나빴어요.",0,0,1,0
"가격은 저렴했지만 분위기가 별로였어요.",0,2,0,1
"음식이 너무 짜서 먹기 힘들었어요.",1,0,0,0
"서비스가 빠르고 친절했어요.",0,0,2,0
"테이블 간격이 좁아 옆 사람 대화가 다 들려요.",0,0,0,1
"가격은 조금 비싸지만 분위기가 좋았어요.",0,1,0,2
"직원들이 주문을 잘못 가져왔어요.",0,0,1,0
"조명이 따뜻하고 분위기가 좋았어요.",0,0,0,2
"음식이 별로였고 가격도 비쌌어요.",1,1,0,0
"서비스는 느렸지만 분위기는 괜찮았어요.",0,0,1,2
"가격은 합리적이고 직원들도 친절했어요.",0,2,2,0
"에어컨이 너무 세게 나와서 불편했어요.",0,0,0,1
"음악 소리가 너무 커서 대화하기 힘들었어요.",0,0,0,1
"가격은 조금 높았지만 서비스가 훌륭했어요.",0,1,2,0
"분위기가 너무 어두워서 답답했어요.",0,0,0,1
"직원들이 친절해서 기분 좋게 식사했어요.",0,0,2,0
"가격은 저렴했지만 의자가 불편했어요.",0,2,0,1
"음식이 식어서 나와서 실망했어요.",1,0,0,0
"분위기가 로맨틱해서 데이트하기 좋았어요.",0,0,0,2
"가격은 조금 높지만 직원들이 친절했어요.",0,1,2,0
"조명이 너무 밝아서 눈이 아팠어요.",0,0,0,1
"서비스는 괜찮았지만 음악이 너무 시끄러워요.",0,0,2,1
"가격 대비 음식 양이 너무 적어요.",1,1,0,0
"분위기가 깔끔하고 인테리어가 예뻤어요.",0,0,0,2
"직원들이 무뚝뚝해서 기분이 나빴어요.",0,0,1,0
"가격은 저렴했지만 분위기가 별로였어요.",0,2,0,1
"음식이 너무 짜서 먹기 힘들었어요.",1,0,0,0
"서비스가 빠르고 친절했어요.",0,0,2,0
"테이블 간격이 좁아 옆 사람 대화가 다 들려요.",0,0,0,1
"가격은 조금 비싸지만 분위기가 좋았어요.",0,1,0,2
"직원들이 주문을 잘못 가져왔어요.",0,0,1,0
"조명이 따뜻하고 분위기가 좋았어요.",0,0,0,2
"음식이 별로였고 가격도 비쌌어요.",1,1,0,0
"서비스는 느렸지만 분위기는 괜찮았어요.",0,0,1,2
"가격은 합리적이고 직원들도 친절했어요.",0,2,2,0
"에어컨이 너무 세게 나와서 불편했어요.",0,0,0,1
"음악 소리가 너무 커서 대화하기 힘들었어요.",0,0,0,1
"가격은 조금 높았지만 서비스가 훌륭했어요.",0,1,2,0
"분위기가 너무 어두워서 답답했어요.",0,0,0,1
"직원들이 친절해서 기분 좋게 식사했어요.",0,0,2,0
"가격은 저렴했지만 의자가 불편했어요.",0,2,0,1
"음식이 식어서 나와서 실망했어요.",1,0,0,0
"분위기가 로맨틱해서 데이트하기 좋았어요.",0,0,0,2
"가격은 조금 높지만 직원들이 친절했어요.",0,1,2,0
"조명이 너무 밝아서 눈이 아팠어요.",0,0,0,1
"서비스는 괜찮았지만 음악이 너무 시끄러워요.",0,0,2,1
"가격 대비 음식 양이 너무 적어요.",1,1,0,0
"분위기가 깔끔하고 인테리어가 예뻤어요.",0,0,0,2
"직원들이 무뚝뚝해서 기분이 나빴어요.",0,0,1,0
"가격은 저렴했지만 분위기가 별로였어요.",0,2,0,1
sentence,FOOD,PRICE,SERVICE,AMBIENCE
"조명이 너무 어두워서 답답했어요.",0,0,0,1
"에어컨이 너무 세게 나와서 불편했음.",0,0,0,1
"테이블 간격이 좁아서 옆 대화 다 들림.",0,0,0,1
"음악 소리가 너무 커서 대화가 안 됨.",0,0,0,1
"좌석이 딱딱해서 오래 앉아 있기 힘들었어요.",0,0,0,1
"실내가 너무 덥고 환기가 안 돼요.",0,0,0,1
"조명 색깔이 이상해서 분위기가 별로였음.",0,0,0,1
"식당 내부가 너무 시끄러워서 집중이 안 돼요.",0,0,0,1
"의자가 불편해서 허리가 아팠어요.",0,0,0,1
"분위기가 너무 어수선해서 편하지 않았어요.",0,0,0,1
"냄새가 심해서 식사하기 불편했음.",0,0,0,1
"음악이 취향에 안 맞고 너무 크게 틀었어요.",0,0,0,1
"실내가 너무 추워서 오래 있을 수가 없었음.",0,0,0,1
"테이블이 너무 흔들려서 불안했어요.",0,0,0,1
"조명이 깜빡거려서 눈이 아팠음.",0,0,0,1
"분위기가 너무 어두워서 사진 찍기 힘들었어요.",0,0,0,1
"실내 장식이 너무 낡아 보여서 별로였음.",0,0,0,1
"공간이 좁아서 답답했어요.",0,0,0,1
"음악 소리가 울려서 시끄럽게 들렸음.",0,0,0,1
"냉난방이 제대로 안 돼서 불편했어요.",0,0,0,1
"분위기가 너무 차갑고 따뜻함이 없었음.",0,0,0,1
"조명이 너무 강해서 눈부셨음.",0,0,0,1
"실내가 너무 어두워서 음식이 잘 안 보였어요.",0,0,0,1
"테이블 배치가 엉망이라 불편했음.",0,0,0,1
"분위기가 너무 소란스러워서 피곤했어요.",0,0,0,1
"의자가 삐걱거려서 신경 쓰였음.",0,0,0,1
"실내가 너무 건조해서 목이 아팠어요.",0,0,0,1
"음악이 너무 빠르고 시끄러워서 불편했음.",0,0,0,1
"분위기가 너무 인위적이라 편하지 않았어요.",0,0,0,1
"냄새가 심해서 오래 있을 수 없었음.",0,0,0,1
"조명이 너무 약해서 어두웠어요.",0,0,0,1
"공간이 너무 협소해서 불편했음.",0,0,0,1
"분위기가 너무 차갑고 삭막했어요.",0,0,0,1
"실내가 너무 혼잡해서 불편했음.",0,0,0,1
"음악 소리가 계속 울려서 귀가 아팠어요.",0,0,0,1
"조명이 이상해서 분위기가 불편했음.",0,0,0,1
"분위기가 너무 답답해서 빨리 나가고 싶었어요.",0,0,0,1
"실내가 너무 어두워서 불편했음.",0,0,0,1
"의자가 너무 낮아서 앉기 힘들었어요.",0,0,0,1
"분위기가 너무 소란스러워서 집중이 안 됨.",0,0,0,1
"냄새가 심해서 식사하기 불편했어요.",0,0,0,1
"조명이 너무 강해서 눈이 아팠음.",0,0,0,1
"분위기가 너무 차갑고 불편했어요.",0,0,0,1
"실내가 너무 덥고 답답했음.",0,0,0,1
"음악 소리가 너무 커서 불편했어요.",0,0,0,1
"테이블 간격이 좁아서 불편했음.",0,0,0,1
"분위기가 너무 어두워서 별로였어요.",0,0,0,1
"조명이 깜빡거려서 불편했음.",0,0,0,1
"실내 장식이 낡아서 분위기가 별로였어요.",0,0,0,1
"공간이 너무 좁아서 답답했음.",0,0,0,1
"분위기가 너무 차갑고 삭막했어요.",0,0,0,1
"냄새가 심해서 불편했음.",0,0,0,1
"조명이 너무 약해서 어두웠어요.",0,0,0,1
"분위기가 너무 혼잡해서 불편했음.",0,0,0,1
"음악 소리가 울려서 귀가 아팠어요.",0,0,0,1
"실내가 너무 건조해서 불편했음.",0,0,0,1
"분위기가 너무 인위적이라 별로였어요.",0,0,0,1
"가격은 조금 비싸지만 분위기가 좋아서 이해할 수 있었어요.",0,1,0,2
"분위기도 좋고 가격도 합리적이라 자주 오고 싶어요.",0,2,0,2
"가격 대비 분위기가 정말 만족스러웠어요.",0,2,0,2
"음식은 괜찮았지만 가격이 비싸서 아쉬웠어요.",2,1,0,0
"가격이 저렴한 편은 아니지만 전체적인 분위기가 좋아요.",0,1,0,2
"음식도 맛있고 직원분들도 친절해서 기분 좋게 식사했어요.",2,0,2,0
"분위기도 좋고 서비스도 세심해서 만족스러웠어요.",0,0,2,2
"음식, 서비스, 분위기 모두 만족스러웠습니다.",2,0,2,2
"직원 응대가 아쉬웠지만 분위기는 좋았어요.",0,0,1,2
"서비스는 좋았지만 음식이 기대에 못 미쳤어요.",1,0,2,0
"음식도 훌륭하고 가격도 합리적이며 분위기와 서비스까지 완벽했어요.",2,2,2,2
"가격은 조금 비싸고 서비스는 평범했지만 분위기는 괜찮았어요.",0,1,0,2
"음식은 맛있었지만 가격이 비싸고 분위기가 시끄러웠어요.",2,1,0,1
"서비스도 친절하고 분위기도 좋아서 가격이 조금 비싸도 괜찮았어요.",0,1,2,2
"전체적으로 분위기가 좋아서 오래 머물고 싶었어요.",0,0,0,2
"가격도 적당하고 음식 맛도 괜찮은 편이에요.",2,2,0,0
"서비스가 별로라 다시 방문하고 싶지는 않아요.",0,0,1,0
"매장이 깔끔하고 조용해서 이야기 나누기 좋았어요.",0,0,0,2
"가격이 조금 부담되지만 음식 맛은 인정이에요.",2,1,0,0
"매장이 시끄럽고 직원도 불친절한데 가격까지 비싸서 실망했어요.",0,1,1,1
"분위기도 어수선하고 응대도 별로였는데 가격은 너무 높아요.",0,1,1,1
"실내가 답답하고 서비스도 느린데 가격이 비싸서 아쉬웠어요.",0,1,1,1
"조명이 어둡고 직원 태도도 차가웠는데 가격은 합리적이지 않았어요.",0,1,1,1
"분위기도 별로고 서비스도 불친절한데 가격까지 부담됐어요.",0,1,1,1
"가격은 저렴한 편이지만 매장이 시끄럽고 직원 응대가 별로였어요.",0,2,1,1
"가격은 괜찮았는데 분위기가 어수선하고 서비스가 불친절했어요.",0,2,1,1
"가성비는 나쁘지 않지만 실내가 답답하고 직원 태도가 아쉬웠어요.",0,2,1,1
"가격은 합리적인데 매장 분위기와 서비스는 개선이 필요해요.",0,2,1,1
"저렴한 가격은 좋았지만 직원이 무뚝뚝하고 분위기도 별로였어요.",0,2,1,1
"가격은 적당한 것 같지만 매장이 너무 시끄럽고 서비스도 별로였어요.",0,2,1,1
"가격이 조금 비싸긴 한데 직원 태도와 분위기가 더 문제였어요.",0,1,1,1
"가격 대비 만족스럽지 않았고 분위기와 서비스 모두 아쉬웠어요.",0,1,1,1
"가성비를 기대했는데 분위기도 답답하고 서비스도 느렸어요.",0,1,1,1
"가격은 나쁘지 않았지만 직원 응대와 매장 환경은 불편했어요.",0,2,1,1
"가격은 생각보다 괜찮았지만 전체적인 분위기와 서비스가 기대에 못 미쳤어요.",0,2,1,1
"가격이 저렴하다고 느끼긴 했지만 매장이 너무 산만하고 직원도 친절하지 않았어요.",0,2,1,1
"가격은 감수할 수 있는데 분위기랑 응대가 만족스럽지 않았어요.",0,1,1,1
"가격은 합리적이라고 생각했지만 공간이 답답하고 서비스가 느렸어요.",0,2,1,1
"가격이 비싼 편은 아니었지만 매장 환경과 직원 태도는 개선이 필요해 보여요.",0,2,1,1
