sentence,FOOD,PRICE,SERVICE,AMBIENCE
"수프는 치즈와 국수를 섞은 요리인데, 맛이 이상해서 별로 먹고 싶지 않아요.",1,0,0,0
만큼의 가치가 있어요.,0,2,0,0
"'유기농'이란 말이 '흙 맛'을 뜻한다고 생각한다면, 이것들민트은 당신에게 딱 맞습니다.",2,0,0,0
"( 아스파라거스, 트러플 오일, 파마산 브루스케타가 최고예요!)",2,0,0,0
( 항상 바텐더에게 계절 맥주를 요청하세요 !!!,2,0,0,0
"(2가지 반찬)은 그럭저럭 괜찮았고, 요청하니 리필해 주었습니다.",2,0,2,0
(2개: 가리비)는 검은 올리브 버터에 조리되어서 정말 독특합니다(맛도 말할 것도 없고요).,2,0,0,0
(다른 인기 브랜드와 달리) 설탕이 과하게 첨가되지 않은 약간 달콤한 맛이 납니다.,2,0,0,0
"(랍스터 너클 2개) (오늘의 특별 메뉴)는 괜찮았지만, 맛이 좀 별로였습니다.",1,0,0,0
"(직원 1명)은 매우 친절했고, 매니저는 우리가 런던으로 가는 짧은 여행을 위해 큰 짐을 맡겨두는 것도 허락해주었습니다.",0,0,2,0
"* 시설 - 개의 객실 깨끗하고 편안했고, 무료 와이파이 접속 가능(객실에서 노트북을 가져와서 서핑할 수 있음), 오후와 저녁에 1층에 호텔 바 오픈, 맛있는 아침 식사(빵, 시리얼, 과일, 고기), 객실에 미니 냉장고, 개의 객실 에어컨:",2,0,0,2
) 정말 이 제품 너무 좋아요! 제품,2,0,0,0
보통서비스 / 품질,0,0,0,0
맛있어요 ,2,0,0,0
그것은 맛있습니다 시리얼 그렇지 않으면 .,2,0,0,0
다시 구매할 예정입니다 : ),2,0,0,0
첫 한 입의 맛은 정말 훌륭합니다... 조금 씹어보면 백악질의 콩 단백질 가루 맛만 느껴집니다.,1,0,0,0
100% B등급은 메이플 맛이 더 강하고 매장에서 항상 찾을 수 있는 것은 아닙니다.,2,0,0,0
100달러짜리 접시에 고급 생선 조각개이 담겨 있었는데(1개) 하나도 먹을 수 없었습니다.,1,2,0,0
14살 아들과 대학생 조카에게 큰 인기를 끌었습니다. 조카도 학교에 여러 컵을 가져갔어요.,0,0,0,0
170달러를 변기에 흘려보내다...,0,2,0,0
1년 전쯤에는 글루텐이 없어서 이 제품을 자주 사곤 했어요.,2,0,0,0
1등급서비스과 훌륭한음식 서비스를 받으려면 볼라레로 가세요.,2,0,2,0
1온스당 약 0.46달러로 매우 좋은 가격이었습니다.,0,2,0,0
1인당 최소 60달러를 지출한다는 점을 고려하면 더 나은 서비스를 기대합니다.,0,0,1,0
1인분에 100칼로리밖에 없으므로 훌륭하고 건강한 간식입니다.,2,0,0,0
"1일 $31. - 제가 식당(카페 15)에서 식사를 했을 때, 영업이 별로 안 되었을 때임에도 불구하고 서비스가 매우 느렸습니다서비스.",0,0,1,0
20달러로 초밥 무한리필 먹을 수 있는 곳은 최고입니다.,2,2,0,0
"24달러짜리 한 입 베어 물었는데(연어 4개), 지난 17년 동안 음식점에 다니면서 플랫부시 팜의 음식만큼 생선 맛이 강하고, 건조하고, 싱거운(연어 4개) 맛을 본 적이 없습니다.",1,2,0,0
2번째. 호텔은 일반 객실이 이미 꽉 차 있었기 때문에 체크인했을 때 객실만을 위한 이그제큐티브 층으로 업그레이드 되었고 서비스는 업그레이드 되지 않았습니다. 호텔은 괜찮은 음식이 있는 대형 쇼핑 센터 바로 위에 있고 지하철역이 있는데 그다지 편리하지는 않지만 그래도 괜찮습니다. 객실은 깨끗했고 서비스는 괜찮았지만 어느 쪽이든 쓸 만한 것은 아닙니다. 홍콩에서 좋은 호텔이 필요하고 몽콕이 당신의 지역이라면 그곳을 이용하세요. 하지만 좋은 가격을 제시해야 합니다. 저는 체류 기간을 연장하고 싶었지만 터무니없는 제안을 했습니다.,2,2,1,1
2인용 아늑한 장소,0,0,0,2
34번째 베트와의 위치,0,0,0,0
3분도 채 지나지 않아 나는 변기에 몸을 구부리고 앉아 있었습니다.,1,0,0,0
3성급 호텔인 경우 시설은 훌륭하고 직원은 모두 매우 친절하고 도움이 되었습니다.,0,0,2,2
3온스 사이즈는 추천하지 않습니다!,0,2,0,0
3일이 지나도 여전히 갓 요리한 것 같아요.,2,0,0,0
41은 진짜 보물이에요. 아늑하고 직원들이 정말 친절해요. 직원,0,0,2,2
4번째 때 다시 물었더니 웨이터가 저녁 식사 후에 말했습니다.,0,0,1,0
4팩을 샀어요. 앞으로도 오랫동안 살 것 같아요! ~,2,0,0,0
55달러인분 저녁 식사에 이런 걸 기대하지는 않았네요.,1,2,0,0
"5성급 외관, 3성급호텔객실 및 1성급경영진.",0,0,1,1
"5온스 캔에는 참치 5온스가 들어 있으며, 그대로 사용 가능합니다.",0,0,0,0
5점 만점에 약간 못 미치는 것 같아요.,0,0,0,0
5점이 아닌 4점을 준 이유는 가끔 너무 달기 때문입니다.,1,0,0,0
"7년 동안 가장 맛있는, 가장 맛있는 음식을 내놓았고 그걸 계속 유지해 왔습니다...",2,0,0,0
"7온스 튜브는 꽤 작으며 더 큰 사이즈도 나왔으면 좋았지만, 이런 이유로 멀티팩은 좋은 선택입니다.",0,2,0,0
"9 온스 스테이크가 그 다음 나왔는데, 적어도 처음에는 맛이 정말 좋았습니다.",2,0,0,0
>완벽한 시작 훌륭한 위치 비용 대비 우수한 가치를 제공합니다.,0,2,0,2
"Allsorts에는 ""모든 종류""가 없습니다.",1,0,0,0
Amazon의 가격은 매우 좋은 인센티브였습니다. 재고가 부족해지면 다시 구매할 것입니다!,0,2,0,0
"BFC에서는 예약을 받지 않기 때문에 항상 바에서 기다려야 하며, 자리에 앉을 때까지 프런트 직원에게 괴롭힘을 당하게 되는데, 자리에 앉는 데 한 시간 이상 걸릴 수도 있습니다!",0,0,1,0
Bedford ave에 바로 있어서 위치도 편리합니다.,0,0,0,2
"CBD에 있어서 위치는 좋지만위치, 여유롭게 방문할 만한 곳은 아닙니다.",0,0,0,1
DJ는 정말 멋진 곳이에요. 제 생일 때에도 갔고 친구들과도 여러 번 갔었고 계속 가고 있어요.,0,0,0,2
Ess-A-Bagel(Sty-town이나 Midtown에 있음)은 뉴욕에서 단연 최고베이글입니다.,2,0,0,0
GF가 아닌 우리 가족은 일반(독) 프레즐보다 글루티노 프레즐을 더 선호합니다.,2,0,0,0
KFORDHEALTH CARE STAFFING의 모든 직원에게 이 제품을 구매하세요. 말할 것도 없이 직원들은 이 제품을 매우 좋아합니다.,2,0,0,0
LA 관광을 위한 좋은 거점,0,0,0,2
LA 최고의 인도 음식,2,0,0,0
"Lex 3rd는 훌륭했습니다. 약국, 슈퍼마켓, 코너 매장과 가깝습니다.",0,0,0,2
"OK 호텔 , Great 위치",0,0,0,2
Open & Cool 장소와 Best 피자와 커피,2,0,0,2
Paragon Dental Chews는 환상적인 제품입니다.,2,0,0,0
Patroon에는 좋은 시가 바와 훌륭한 직원이 있습니다.,0,0,2,2
"Planet Thailand는 저에게 항상 인기가 많았습니다. 저는 주로 초밥을 먹으러 거기에 가는데, 초밥이 정말 맛있고, 태국 음식도 훌륭합니다.",2,0,0,0
"Prix Fixe 메뉴는 한 푼 한 푼 다 낼 만한 가치가 있으며, 양과 질 모두 충분해요.",2,2,0,0
Rao 's는 뉴욕에서 서비스와 분위기가 가장 좋습니다.,0,0,2,2
"Ray's는 시애틀의 전통 음식점이지만, 아름다운 멋진 전망 풍경 때문에 음식이나 서비스보다는 경치에 더 많은 찬사를 보낸 것이 아닐까 의심했습니다.",0,0,0,2
Superior 호텔 파리를 방문하는 사람이라면 누구나 이 호텔에 머물러야 합니다. 위치가 완벽하고 호텔은 깨끗하고 매력적이며,0,0,0,2
Sweet Baby Rays는 90년대 중반까지 대량 생산되지 않았으므로 귀하의 제품 리뷰는 완전히 다른 제품을 기반으로 하거나 잘못된 링크/제품을 클릭하여 리뷰한 것입니다.,0,0,0,0
"UWS에는 좋은 레스토랑이 너무 많으므로, 가격이 비싼음식, 터무니없이 거만한웨이터 사람은 필요 없습니다. 그들은 자신이 고급 식당에서 일하는 줄도 모르고, 서투르고서비스, 신경도 쓰지 않습니다경영진.",1,2,1,0
Wholesome Sweeteners는 제가 구독하고 있는 유기농/공정 무역 고품질제품입니다.,2,0,0,0
"[ [ B003SO9QZA : RAW ] ] 꿀을 통해 꿀벌이 공급하는 천연 항산화제, 효소, 비타민 및 활력제가 들어 있는 이 가공 식품을 첨가물과 함께 가열한 이유는 의심스럽습니다.",1,0,0,0
[8년된 기계] 통밀 RAPID - 크러스트 중간 - 사진은 베이킹 결과를 보여주며 허리 둘레는 곧 이 훌륭한 빵을 '즐기는' 모습을 보여줄 것입니다.,2,0,0,0
``0-69``이 불릴 때마다 바텐더가 모든 사람에게 음료를 사줍니다!,0,0,2,0
amazon.com 덕분에 좋은 차를 적정 가격에 구입할 수 있게 되었습니다.,2,2,0,0
boths는 일부 리뷰에서 말하는 것만큼 작지 않습니다. 2명이 머물기에는 완벽합니다.,0,0,0,2
pad penang이 맛있고 다른 것도 다 환상적이에요.,2,0,0,0
rporate 여행사 관점 프런트 데스크 직원 기업 고객에게 매우 무반응,0,0,1,0
그리고 여름철 최고의 데크 경험 -- 시애틀 저녁 날씨에 추워지면 담요도 가져다 줍니다.,0,0,2,2
"NYC 최고의 스시 음식점을 설명하려면: 흠, 맛있다, 대단하다, 환상적이다, 육즙이 풍부하다, 완벽하다, 아니, 이 모든 게 다 해당된다.",2,0,0,0
Ray 's는 고품질 해산물 저녁 식사을 제공하는 곳입니다.,2,0,0,0
Schooner or Later는 매력적이긴 하지만롱비치 마리나를 따라 위치한 위치 보통 수준음식입니다. 하지만 불행히도 그 매우 형편없는고객 서비스 점을 보완하지는 못합니다.,1,0,1,2
"계란, 팬케이크, 감자, 신선한 과일, 요거트 -- 그들이 제공하는 모든 것이 맛있습니다.",2,0,0,0
"레스토랑에서 점진적인 비용 절감이 이루어지는 이 시대에, 그러한 추세에 맞서 고품질음식과 훌륭한서비스 서비스를 제공하는 곳을 보는 건 즐거운 일입니다.",2,0,2,0
"메르세데스 레스토랑은 너무 맛있어요, 서비스는 틀림없이 굉장해요!",2,0,2,0
미오포스토는 매우 창의적이고 맛있습니다.피자 메뉴,2,0,0,0
베벌리 센터 옆에 자리 잡고 있습니다.,0,0,0,0
분위기는 특별한 행사를 축하하기에 좋습니다.,0,0,0,2
시애틀의 대부분 레스토랑과 마찬가지로 Mioposto의 서비스는 나빴고 음식은 가격이 너무 비쌌습니다.,1,2,1,0
앉아서 먹는 멕시칸 음식과 시내 중심가 음식의 가격이 꽤 저렴해요.,0,2,0,0
여기의 음식은 훌륭하지만 점심의 품질은 일정하지 않습니다.,1,0,0,0
"여기의 초밥은 완벽하게 괜찮지만, 한 조각에 5달러라면 생선 조각이 더 커야 하거나 이곳이 적당한 가격의 레스토랑이라는 척해서는 안 됩니다(NYC라도).",2,2,0,0
"왜 이렇게 오랫동안 이곳에 낯선 사람이었는지 모르겠어요... 파히타 샐러드, 콜로라도, 파히타 - 모든 게 맛있어요.",2,0,0,0
음식은 별로였고 웨이터는 무례했습니다.,1,0,1,0
이곳에서 아침 식사 때 한 번은 매우 무례한 대우를 받았습니다.,0,0,1,0
이곳은 아침식사로 유명합니다.,2,0,0,0
"이곳은 제가 가장 좋아하는 점심 식당 중 하나입니다. 양이 많고양, 빠르고서비스 훌륭합니다마가리타!!",2,0,2,0
저는 Stack에서 식사하기로 했습니다. 쇼 전 저녁 식사 가격이 고정되어 있음,0,0,0,0
저는 여기서의 식사를 정말 즐겼습니다.,2,0,0,0
"저는 이 식당에서 경험한 놀라운 식사, 서비스, 분위기를 결코 잊지 못할 것입니다.",2,0,2,2
저는 이곳에서 8년 넘게 식사해 왔지만 한 번도 나쁜 음식을 먹은 적이 없습니다.,2,0,0,0
저는 파고다의 음식에 매우 실망했습니다.,1,0,0,0
저는 호박 라비올리와 염소 치즈 뇨키를 좋아했습니다(20개 정도의 작은 뇨키 대신 큰 뇨키 5개를 접시에 담았습니다). 그리고 제 여동생은 시금치와 으깬 감자 위에 얹은 필레미뇽을 좋아했습니다.,2,0,0,0
